Change,Name,Old Discipline,Old Line,New Discipline,New Line,Session Role,Also Appears In,Why
MOVE,Kettlebell Swing Single Arm,,,Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
MOVE,Kettlebell Swing Squat,,,Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
MOVE,Kettlebell Thruster,,,Loaded Lower Body Strength,Bilateral Squat,,Pressing Strength - Vertical Press,squat-to-press: the squat is the limiting element
MOVE,Kettlebell Walking Lunge,,,Loaded Lower Body Strength,Single-Leg Squat & Lunge,,,single-leg loaded strength
MOVE,Kettlebell Wood Chop,Core & Midline,Rotational & Loaded Core,Core & Midline,Rotational & Loaded Core,,,"loaded rotation - had no Discipline or Line at all, and no line in the library fitted"
RENAME,King of the Mat,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
RENAME,Knee Tap Game + Crawling Version,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
RENAME,Kneeling Runners Stretch,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
MOVE,Lache,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Swinging & Brachiation,,,"swinging/travelling, not strict vertical pulling"
MOVE,Lateral Swing,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Swinging & Brachiation,,,"swinging/travelling, not strict vertical pulling"
RENAME,Leg Sweep,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Leg Swings - Back,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Leg Swings - Front,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
MOVE,Leg Swings - Side,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
RENAME,Limbo,Games,Stick Games,Object Play,Staff,Game,,line renamed
RENAME,Long Lunge - Contract and Relax,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Long Lunge - Hold,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
RENAME,Long Lunge - Pulses,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
MOVE,Lunge,,,Loaded Lower Body Strength,Single-Leg Squat & Lunge,,,single-leg loaded strength
MOVE,Lying Chest Stretch,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,,,chest / front-line opening - no such line existed
RENAME,Marry Me,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,,line renamed
RENAME,Meat Hook,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Meat Hook - Negative,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Meat Hook - Pull to One Arm,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Meat Hook - Two Hands,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Meat Hook - Two Hands Feet Assisted,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
RENAME,Meia Lua Kick,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
MOVE,Mermaid Stretch,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Lat & Side Body,,,"lateral flexion - not thoracic extension, so it needs its own line"
MOVE,Middle Splits,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Middle Splits - Active,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Middle Splits - Contract and Relax,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Middle Splits - Sliding,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Mimic Game,Games,Floor & Flow Games,Rhythm & Flow,Dance / Musical Movement,Game,,expressive / musical movement - fills a declared line that was empty
RENAME,Monkey Flip,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
RENAME,Monkey Kick,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,Ground Locomotion - Quadrupedal Forward,line renamed
RENAME,Movement Riddles,Games,Stick Games,Object Play,Staff,Game,,line renamed
RENAME,Muscle Up - Baby,Hanging & Pulling Above the Bar,Pull-to-Press Transition,Hanging & Pulling,Pull-to-Press Transition,,,line renamed
MOVE,Muscle Up - Bar,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Pull-to-Press Transition,,Hanging & Pulling - Vertical Pull,"kipping and bar transitions belong with the other muscle-ups, not in strict Vertical Pull"
RENAME,Muscle Up - Negative,Hanging & Pulling Above the Bar,Pull-to-Press Transition,Hanging & Pulling,Pull-to-Press Transition,,,line renamed
RENAME,Muscle Up - Rings,Hanging & Pulling Above the Bar,Pull-to-Press Transition,Hanging & Pulling,Pull-to-Press Transition,,Pressing Strength - Dip Press,line renamed
RENAME,Muscle Up - Transition,Hanging & Pulling Above the Bar,Pull-to-Press Transition,Hanging & Pulling,Pull-to-Press Transition,,,line renamed
RENAME,Name Game,Games,Ball Games,Object Play,Ball Skills,Game,,line renamed
RENAME,Nutcracker,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
MOVE,Over head Partner Push,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,,Partner & Connection - Team Work & Connection,chest / front-line opening - no such line existed
MOVE,Pancake,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Pancake - Dynamic,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Pancake - Elevated,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Pancake - Partner,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,Partner & Connection - Team Work & Connection,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Pancake - Weighted,Foundational Resting Positions,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
RENAME,Paper Scissors Rock,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,,line renamed
MOVE,Paralette Balance + Pass the Ball,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
RENAME,Partner Arching Circles Around Stick,Games,Stick Games,Object Play,Staff,Game,,line renamed
RENAME,Partner Carries,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,Loaded Lower Body Strength - Single-Leg Squat & Lunge,line renamed
RENAME,Partner Forward Fold,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,Partner & Connection - Team Work & Connection,line renamed
RENAME,Partner Hamstring Stretch,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,Partner & Connection - Team Work & Connection,line renamed
RENAME,Partner Leg Lift - Front,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,Partner & Connection - Team Work & Connection,line renamed
MOVE,Partner Leg Lift - Side,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Middle Split Line,,Partner & Connection - Team Work & Connection,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
RENAME,Passive Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Passive Hang - Assisted,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Passive Hang - Assisted Supinated,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Passive Hang - Supinated,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Passive to Active Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
RENAME,Passive to Active Hang - Supinated,Hanging & Pulling Above the Bar,Passive / Active Hang,Hanging & Pulling,Passive / Active Hang,,,line renamed
MOVE,Pelican Curl,Hanging & Pulling Above the Bar,Horizontal Pull,Pressing Strength,Arms & Accessory,,,single-joint arm isolation - was padding out Horizontal Pull
MOVE,Pigeon Stretch,Foundational Resting Positions,,Hip & Leg Mobility,Hip Rotation,,,hip rotation rather than a split line
MOVE,Pigeon Stretch - Box,Foundational Resting Positions,,Hip & Leg Mobility,Hip Rotation,,,hip rotation rather than a split line
RENAME,Planche,Lever & Straight-Arm Body Control,Planche Line,Straight Arm Strength,Planche Line,,,line renamed
MOVE,Practice Ball Drills,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
MOVE,Pull Over,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Pull-to-Press Transition,,,"kipping and bar transitions belong with the other muscle-ups, not in strict Vertical Pull"
MOVE,Pull Over - Jump,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Pull-to-Press Transition,,,"kipping and bar transitions belong with the other muscle-ups, not in strict Vertical Pull"
RENAME,Pull Up,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Push Pull Off the Line,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
MOVE,Push Pull and Rolling in all directions,Ground Locomotion,Rolling Locomotion,Ground Locomotion,Rolling Locomotion,Game,,rolling
MOVE,Push Up - Bridge,Pressing Strength,Vertical Press,Spinal Mobility,Spinal Extension & Bridging,,Pressing Strength - Vertical Press,bridges were split across three disciplines - consolidated here
RENAME,Quadrapedal Red Rover,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
MOVE,RDL,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge,,,loaded hip hinge - Kettlebell Swing was filed under Planche Line; the rest sat in hip mobility
RENAME,Reversão,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
RENAME,Ring Facepull,Hanging & Pulling Above the Bar,Horizontal Pull,Hanging & Pulling,Horizontal Pull,,,line renamed
MOVE,Ring Roll,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,,straight-arm rotation through the shoulder - not a horizontal pull
MOVE,Ring Roll - Backward,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,,straight-arm rotation through the shoulder - not a horizontal pull
RENAME,Ring Row - Rotational,Hanging & Pulling Above the Bar,Horizontal Pull,Hanging & Pulling,Horizontal Pull,,,line renamed
RENAME,Ring Row - Rotational Contralateral,Hanging & Pulling Above the Bar,Horizontal Pull,Hanging & Pulling,Horizontal Pull,,,line renamed
RENAME,Ring Row - Rotational Ipsilateral,Hanging & Pulling Above the Bar,Horizontal Pull,Hanging & Pulling,Horizontal Pull,,,line renamed
RENAME,Rings Juggling,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
MOVE,Rolê,Inverted & Rotational Locomotion,Cartwheel Family,Rhythm & Flow,Floor Flow,,,flowing ground transition
RENAME,Rope Climb - Feet Assisted,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Rope Climb - Legless,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Vertical Pull,,,line renamed
RENAME,Roundhouse Kick,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
RENAME,Schwheel,"Rhythm, Flow & Expression",Acrobatics,Rhythm & Flow,Acrobatics,,,line renamed
RENAME,Shoulder Roll,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,Ground Locomotion - Rolling Locomotion,line renamed
RENAME,Shoulder Tap Game,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
MOVE,Side Pancake Weighted,,,Hip & Leg Mobility,Middle Split Line,,,"abduction / middle-split work - had no Line, and Middle Split Line did not exist"
MOVE,Sissy Squat,,,Loaded Lower Body Strength,Anterior Chain (knee),,,knee-extension dominant - not a single-leg squat pattern. Reverse Nordic joins it.
MOVE,Skin the Cat,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,Straight Arm Strength - Front Lever Line,straight-arm rotation through the shoulder - not a horizontal pull
MOVE,Skin the Cat - Bar,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,,straight-arm rotation through the shoulder - not a horizontal pull
MOVE,Skin the Cat - Jumping,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,Straight Arm Strength - Front Lever Line,straight-arm rotation through the shoulder - not a horizontal pull
MOVE,Skin the Cat - Pike,Hanging & Pulling Above the Bar,Horizontal Pull,Straight Arm Strength,Straight Arm Rotation,,Straight Arm Strength - Front Lever Line,straight-arm rotation through the shoulder - not a horizontal pull
MOVE,Soccer Ball Juggling,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
RENAME,Speed Dating,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,,line renamed
MOVE,Spinal Waves and Joint Rotations,Games,Floor & Flow Games,Spinal Mobility,Spinal Waves,Game,,spinal waves (also a game - see tags)
MOVE,Split Squat,,,Loaded Lower Body Strength,Single-Leg Squat & Lunge,,,single-leg loaded strength
MOVE,Squat Gladiators,Games,Rough Housing,Hip & Leg Mobility,Squat Position,Game,Partner & Connection - Rough Housing,held squat position (also a game - see tags)
MOVE,Squat Lat Stretch,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Lat & Side Body,,,"lateral flexion - not thoracic extension, so it needs its own line"
MOVE,Standing Arch,Foundational Resting Positions,,Spinal Mobility,Spinal Extension & Bridging,,,bridges were split across three disciplines - consolidated here
MOVE,Standing Chest Stretch,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,,,chest / front-line opening - no such line existed
MOVE,Standing Lat Stretch,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Lat & Side Body,,,"lateral flexion - not thoracic extension, so it needs its own line"
RENAME,Stick Circle Madness,Games,Stick Games,Object Play,Staff,Game,,line renamed
MOVE,Stick Horse Stance,Games,Stick Games,Hip & Leg Mobility,Stance Positions,Game,Object Play - Staff,stance positions
RENAME,Stick Twister,Games,Stick Games,Object Play,Staff,Game,,line renamed
RENAME,Stone and Water,Games,Floor & Flow Games,Partner & Connection,Floor & Flow Games,Game,,line renamed
RENAME,Stuck in the Mud,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,,line renamed
RENAME,Sweep Kick,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
MOVE,Swing to Precision,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Swinging & Brachiation,,,"swinging/travelling, not strict vertical pulling"
MOVE,Swinging,Hanging & Pulling Above the Bar,Vertical Pull,Hanging & Pulling,Swinging & Brachiation,,,"swinging/travelling, not strict vertical pulling"
MOVE,Table Top Hold,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,Prehab,,chest / front-line opening - no such line existed
MOVE,Table Top Lifts,Foundational Resting Positions,,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,Prehab,,chest / front-line opening - no such line existed
RENAME,Tennis Juggling,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,Thomas Stretch,Foundational Resting Positions,Hip Opening (frontal),Hip & Leg Mobility,Front Split Line,,,line renamed
MOVE,Thoracic Bridge,Foundational Resting Positions,,Spinal Mobility,Spinal Extension & Bridging,,,bridges were split across three disciplines - consolidated here
MOVE,Throwing and Catching,Games,Ball Games,Object Play,Ball Skills,Game,,"ball skills are Object Play, not a category of their own"
MOVE,Thruster,Pressing Strength,Vertical Press,Loaded Lower Body Strength,Bilateral Squat,,Pressing Strength - Vertical Press,squat-to-press: the squat is the limiting element
RENAME,Tornado Kick,"Rhythm, Flow & Expression",Kicks,Rhythm & Flow,Kicks,,,line renamed
MOVE,Tricep Extension - Banded,Prehab & Rehab,Banded,Pressing Strength,Arms & Accessory,,,single-joint arm isolation
MOVE,Tricep Extension - Rings,Pressing Strength,Horizontal Press,Pressing Strength,Arms & Accessory,,,single-joint arm isolation
RENAME,Trust Game Eyes Closed,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,,line renamed
RENAME,Tug of War,Games,Rough Housing,Partner & Connection,Rough Housing,Game,,line renamed
RENAME,Voodoo Doll,Games,Floor & Flow Games,Partner & Connection,Floor & Flow Games,Game,,line renamed
MOVE,Walking Lunge,Ground Locomotion,Bipedal Forward,Loaded Lower Body Strength,Single-Leg Squat & Lunge,,,single-leg loaded strength
RENAME,Weighted Juggling,Hand-Eye Coordination & Object Manipulation,Juggling,Object Play,Juggling,,,line renamed
RENAME,Wheel Barrow Races,Games,Team Work & Connection,Partner & Connection,Team Work & Connection,Game,Ground Locomotion - Quadrupedal Forward,line renamed
RENAME,Windmill,"Rhythm, Flow & Expression",Floor Flow,Rhythm & Flow,Floor Flow,,,line renamed
RENAME,Windscreen Wipers,Lever & Straight-Arm Body Control,Core,Core & Midline,Hanging Core & Compression,,,line renamed
MOVE,Yoga Wheel Opener,Foundational Resting Positions,,Spinal Mobility,Spinal Extension & Bridging,,,bridges were split across three disciplines - consolidated here
RENAME,Zen Archer,Games,Stick Games,Object Play,Staff,Game,,line renamed
TAG,Bridge Walk,Ground Locomotion,Lateral / Multi-directional,Ground Locomotion,Lateral / Multi-directional,,Spinal Mobility - Spinal Extension & Bridging,"tag / cross-reference only, taxonomy unchanged"
TAG,Cat Crawl - Spinal Wave,Ground Locomotion,Quadrupedal Forward,Ground Locomotion,Quadrupedal Forward,,Spinal Mobility - Spinal Waves,"tag / cross-reference only, taxonomy unchanged"
TAG,Crab Walk,Ground Locomotion,Lateral / Multi-directional,Ground Locomotion,Lateral / Multi-directional,,Spinal Mobility - Spinal Extension & Bridging,"tag / cross-reference only, taxonomy unchanged"
TAG,Handstand - Partner,Hand Balancing & Inversion,Static Inversion,Hand Balancing & Inversion,Static Inversion,,Partner & Connection - Team Work & Connection,"tag / cross-reference only, taxonomy unchanged"
TAG,Handstand to Roll,Ground Locomotion,Rolling Locomotion,Ground Locomotion,Rolling Locomotion,,Hand Balancing & Inversion - Static Inversion,"tag / cross-reference only, taxonomy unchanged"
TAG,Horse Stance - Walk,Ground Locomotion,Bipedal Forward,Ground Locomotion,Bipedal Forward,,Hip & Leg Mobility - Stance Positions,"tag / cross-reference only, taxonomy unchanged"
TAG,Lizard Crawl - Push Up,Ground Locomotion,Quadrupedal Forward,Ground Locomotion,Quadrupedal Forward,,Pressing Strength - Horizontal Press,"tag / cross-reference only, taxonomy unchanged"
